,0
aldrig,pren
avsaknad av,pren
ej,pren
fri från,pren
förnekar,pren
förnekas,post
har inte,pren
icke,pren
inga,pren
inga tecken,pren
ingen,pren
ingen förändring,pseu
ingen ändring,pseu
inget,pren
inget avvikande,post
inget som,pren
inte,pren
inte bara,pseu
inte har,pren
inte kan,pren
inte kunna,pren
inte kunnat,pren
inte nödvändigtvis,pseu
inte orsaka,pseu
inte utesluta,pseu
inte vet,pseu
inte visar,pren
kan inte,pren
kan inte uteslutas,pseu
kunde inte,pren
känner sig inte,pren
negativt,post
osannolikt,post
patienten inte,pren
saknar,pren
saknas,post
utan,pren
utan några,pren
utan tecken,pren
utesluta,pren
uteslutas,pren
vet inte,pseu
